loss,params,iteration,estimators,train_time
0.04782556867793741,"{'num_leaves': 93, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.02787353994197278, 'learning_rate': 0.13530799785675854, 'subsample': 0.6006836918537491, 'colsample_bytree': 0.7973011109857753, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.4046054843302629, 'min_child_samples': 195, 'subsample_for_bin': 240000}",32,65,2.8354281769134104
0.046851522385035205,"{'num_leaves': 125, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.3513733374533653, 'learning_rate': 0.19480410480404248, 'subsample': 1.0, 'colsample_bytree': 0.7444024411111232, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.7188768113183435, 'min_child_samples': 100, 'subsample_for_bin': 240000}",33,4,1.7677993549732491
0.05004283896423567,"{'num_leaves': 78, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.7810949676655445, 'learning_rate': 0.014683778674737129, 'subsample': 0.8308394027474649, 'colsample_bytree': 0.9549962687974356, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.9168989276502553, 'min_child_samples': 145, 'subsample_for_bin': 280000}",34,94,4.460840537911281
0.06980165932071558,"{'num_leaves': 95, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.48033764302086357, 'learning_rate': 0.02255964167299949, 'subsample': 0.8893952439298666, 'colsample_bytree': 0.8678633100728091, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.109832299159704, 'min_child_samples': 265, 'subsample_for_bin': 220000}",35,246,4.798567233956419
0.0473397375722302,"{'num_leaves': 125, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.40876558857194045, 'learning_rate': 0.08607802601328439, 'subsample': 0.6224011281698024, 'colsample_bytree': 0.8340814014360378, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.23784368650238352, 'min_child_samples': 200, 'subsample_for_bin': 260000}",36,100,4.562594215967692
0.09799062906970168,"{'num_leaves': 104, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.31307258612795663, 'learning_rate': 0.07170135142380656, 'subsample': 1.0, 'colsample_bytree': 0.7593732441510045, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.4430881904889035, 'min_child_samples': 315, 'subsample_for_bin': 200000}",37,13,1.7276201290078461
0.05087235031693371,"{'num_leaves': 74, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.5159680279707669, 'learning_rate': 0.09725238957762143, 'subsample': 0.8117643395154815, 'colsample_bytree': 0.7060337306307376, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.5947952540666654, 'min_child_samples': 165, 'subsample_for_bin': 220000}",38,23,2.6803259269800037
0.047777514535446874,"{'num_leaves': 106, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.8049802381565203, 'learning_rate': 0.16023928330499626, 'subsample': 0.7606226622082828, 'colsample_bytree': 0.8717422757634604, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.8343269934902302, 'min_child_samples': 195, 'subsample_for_bin': 180000}",39,142,4.326031279982999
0.043774567214707405,"{'num_leaves': 88, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.15246218090209185, 'learning_rate': 0.03985205638333643, 'subsample': 0.6480334902769176, 'colsample_bytree': 0.8117989044040086, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.9265900849081525, 'min_child_samples': 125, 'subsample_for_bin': 280000}",40,623,26.202810607035644
0.044230597301816,"{'num_leaves': 43, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.8610765653882214, 'learning_rate': 0.031399727345341216, 'subsample': 1.0, 'colsample_bytree': 0.7807848146920614, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.3167148152803282, 'min_child_samples': 80, 'subsample_for_bin': 240000}",41,31,2.33515369403176
0.04419602812024104,"{'num_leaves': 59, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.6468688329056489, 'learning_rate': 0.021496388769698085, 'subsample': 0.5719394112045185, 'colsample_bytree': 0.9242896701411731, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.5120471541594622, 'min_child_samples': 45, 'subsample_for_bin': 300000}",42,123,5.846923723933287
0.04938658328341661,"{'num_leaves': 35, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.26197979321757126, 'learning_rate': 0.056987534025005435, 'subsample': 0.956672712198189, 'colsample_bytree': 0.8946039733975492, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.07680722706007753, 'min_child_samples': 165, 'subsample_for_bin': 200000}",43,26,2.6461983430199325
0.061348786651527876,"{'num_leaves': 132, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.06116881789633319, 'learning_rate': 0.010048766418348598, 'subsample': 0.6874765279319863, 'colsample_bytree': 0.9995762246491647, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.8274803935325872, 'min_child_samples': 245, 'subsample_for_bin': 140000}",44,334,7.652849537902512
0.07207353997359633,"{'num_leaves': 122, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.424238220987207, 'learning_rate': 0.01603673336838563, 'subsample': 0.8187587121273575, 'colsample_bytree': 0.8407258853124484, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.2517742250908499, 'min_child_samples': 275, 'subsample_for_bin': 260000}",45,585,22.263017916004173
0.11882228609573864,"{'num_leaves': 138, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.3670252267514609, 'learning_rate': 0.04478948939491185, 'subsample': 0.6800992416458873, 'colsample_bytree': 0.9635687378366228, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.7465054034847524, 'min_child_samples': 360, 'subsample_for_bin': 220000}",46,22,2.7861280830111355
0.04627315911657859,"{'num_leaves': 108, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.4663567822841215, 'learning_rate': 0.07556321538453187, 'subsample': 0.8175374105925669, 'colsample_bytree': 0.6374327001837072, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.38273857075711, 'min_child_samples': 120, 'subsample_for_bin': 160000}",47,73,3.5366561700357124
0.048543214457070105,"{'num_leaves': 76, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.626741518750325, 'learning_rate': 0.10507473150857691, 'subsample': 1.0, 'colsample_bytree': 0.719017285955591, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.6256946529139968, 'min_child_samples': 85, 'subsample_for_bin': 120000}",48,9,1.9009703320916742
0.060695622826388074,"{'num_leaves': 99, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.5475737070568978, 'learning_rate': 0.084044354595851, 'subsample': 0.7932505952272297, 'colsample_bytree': 0.8790938236651534, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.45006938764977633, 'min_child_samples': 245, 'subsample_for_bin': 180000}",49,183,6.540934821008705
0.0499818213786547,"{'num_leaves': 91, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.9770565838583168, 'learning_rate': 0.03804525932295204, 'subsample': 0.9055079402082874, 'colsample_bytree': 0.8063776948959951, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.12435629959950523, 'min_child_samples': 215, 'subsample_for_bin': 200000}",50,71,2.6663718710187823
0.04836113023343136,"{'num_leaves': 120, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.251343709132884, 'learning_rate': 0.0616594299806983, 'subsample': 0.5692697402764271, 'colsample_bytree': 0.8533370548783793, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.9312229859908981, 'min_child_samples': 180, 'subsample_for_bin': 280000}",51,17,2.4396287030540407
0.05141774620856554,"{'num_leaves': 46, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.18775910679875096, 'learning_rate': 0.0461195189757292, 'subsample': 1.0, 'colsample_bytree': 0.9349032493288435, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.5818011047102544, 'min_child_samples': 145, 'subsample_for_bin': 240000}",52,11,1.6905728089623153
0.5,"{'num_leaves': 60, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.10534781165762941, 'learning_rate': 0.05179569656500866, 'subsample': 0.7267591397701547, 'colsample_bytree': 0.8979514025102047, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.28010349800995676, 'min_child_samples': 465, 'subsample_for_bin': 300000}",53,1,1.6667410939699039
0.08407958809032079,"{'num_leaves': 70, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.29889076522680924, 'learning_rate': 0.03036537034656992, 'subsample': 0.9319739084829302, 'colsample_bytree': 0.8631308424176447, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.9907846744366401, 'min_child_samples': 305, 'subsample_for_bin': 220000}",54,348,11.883303512004204
0.04600241686260842,"{'num_leaves': 110, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.6902058515744663, 'learning_rate': 0.16292749542414006, 'subsample': 0.6412482131318261, 'colsample_bytree': 0.9772658238293992, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.6522291960273275, 'min_child_samples': 35, 'subsample_for_bin': 260000}",55,23,3.3777406139997765
0.044177849498895805,"{'num_leaves': 115, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.9142172378100673, 'learning_rate': 0.034015458709843974, 'subsample': 0.8678511095610599, 'colsample_bytree': 0.9088989305467488, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.7666891955406916, 'min_child_samples': 60, 'subsample_for_bin': 100000}",56,197,8.448188513983041
0.04375311048131625,"{'num_leaves': 131, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.34207222124499, 'learning_rate': 0.021342141182246237, 'subsample': 0.8172514626637009, 'colsample_bytree': 0.6860077403421156, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.8065554314886842, 'min_child_samples': 95, 'subsample_for_bin': 180000}",57,144,5.266146335983649
0.1102810161551322,"{'num_leaves': 150, 'boosting_type': 'goss', 'verbose': 1, 'reg_lambda': 0.40511462071101867, 'learning_rate': 0.0412120627538983, 'subsample': 1.0, 'colsample_bytree': 0.757995727840721, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.8779785810623273, 'min_child_samples': 350, 'subsample_for_bin': 280000}",58,21,2.069147943984717
0.04431649873792698,"{'num_leaves': 54, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.7497810092571966, 'learning_rate': 0.01035421998498329, 'subsample': 0.5645734738481767, 'colsample_bytree': 0.7924873092338482, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.03812631335462241, 'min_child_samples': 115, 'subsample_for_bin': 260000}",59,290,11.182711979956366
0.052054668478568544,"{'num_leaves': 87, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.5898638097247919, 'learning_rate': 0.19995204932145758, 'subsample': 0.5841127429475126, 'colsample_bytree': 0.9478447848002892, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.5211880004270577, 'min_child_samples': 210, 'subsample_for_bin': 200000}",60,16,1.964325124048628
0.05108017517038732,"{'num_leaves': 80, 'boosting_type': 'dart', 'verbose': 1, 'reg_lambda': 0.22007124246947707, 'learning_rate': 0.12588069034666374, 'subsample': 0.6893315559739586, 'colsample_bytree': 0.8861675824389253, 'metric': 'auc', 'class_weight': 'balanced', 'reg_alpha': 0.3722548310195419, 'min_child_samples': 180, 'subsample_for_bin': 240000}",61,34,2.7887569069862366
0.057686539475919174,"{'num_leaves': 64, 'boosting_type': 'gbdt', 'verbose': 1, 'reg_lambda': 0.0030439565660941026, 'learning_rate': 0.025362750976969748, 'subsample': 0.9346061219223396, 'colsample_bytree': 0.9198937062490583, 'metric': 'auc', 'class_weight': None, 'reg_alpha': 0.7322985152716244, 'min_child_samples': 240, 'subsample_for_bin': 160000}",62,152,3.8882323369616643
